person_id,name,gender,age,n_cases,districts,n_districts,mo_summary,case_ids,years
SYN-P-00211,Agastya Sarkar,M,40,3,Kalaburagi,1,THEFT x2; ROBBERY x1,SYN-C-00323; SYN-C-01308; SYN-C-01405,2021-2023
SYN-P-00230,Owen Narain,M,47,3,Kalaburagi,1,ROBBERY x1; MURDER x1; BURGLARY - NIGHT x1,SYN-C-00367; SYN-C-00618; SYN-C-01165,2019-2023
SYN-P-00232,Vihaan Khanna,M,53,3,Belagavi,1,THEFT x2; MURDER x1,SYN-C-00470; SYN-C-00629; SYN-C-00935,2021-2022
SYN-P-00447,Sai Bumb,M,33,3,Bengaluru Urban,1,THEFT x3,SYN-C-00004; SYN-C-00106; SYN-C-00160,2019-2022
SYN-P-00553,Ikshita Vasa,F,48,3,Bengaluru Urban,1,THEFT x2; CHEATING x1,SYN-C-00002; SYN-C-00112; SYN-C-00127,2019-2023
SYN-P-00554,Karan Chadha,M,52,3,Kalaburagi,1,THEFT x2; BURGLARY - NIGHT x1,SYN-C-00416; SYN-C-00911; SYN-C-01138,2021-2023
SYN-P-00625,Wazir Hora,M,21,3,Bengaluru Urban,1,THEFT x3,SYN-C-00045; SYN-C-00071; SYN-C-00258,2020-2023
SYN-P-00717,Baljiwan Sethi,M,47,3,Bengaluru Urban,1,THEFT x3,SYN-C-00222; SYN-C-00366; SYN-C-00396,2021-2023
SYN-P-00744,Hritik Lata,M,32,3,Kalaburagi,1,THEFT x2; BURGLARY - NIGHT x1,SYN-C-00122; SYN-C-00501; SYN-C-00570,2019-2022
SYN-P-00748,Harsh Kothari,M,27,3,Bengaluru Urban,1,THEFT x2; CHEATING x1,SYN-C-00105; SYN-C-00234; SYN-C-00285,2019-2021
SYN-P-00859,Isaac Som,M,28,3,Bengaluru Urban,1,THEFT x2; ROBBERY x1,SYN-C-00153; SYN-C-00249; SYN-C-00261,2021-2023
SYN-P-00966,Kevin Majumdar,M,43,3,Kalaburagi,1,THEFT x3,SYN-C-00388; SYN-C-00466; SYN-C-00675,2020-2023
SYN-P-00993,Daniel Virk,M,40,3,Bengaluru Urban,1,THEFT x2; DACOITY x1,SYN-C-00036; SYN-C-00246; SYN-C-00313,2019-2023
SYN-P-01072,Tristan Sane,M,35,3,Bengaluru Urban,1,ROBBERY x1; THEFT x1; BURGLARY - NIGHT x1,SYN-C-00354; SYN-C-00423; SYN-C-00436,2019-2023
SYN-P-01079,Advaith Sidhu,M,49,3,Mysuru,1,THEFT x2; CHEATING x1,SYN-C-00639; SYN-C-00726; SYN-C-00929,2019-2021
SYN-P-01166,Neelima Tata,F,47,3,Belagavi,1,THEFT x3,SYN-C-00383; SYN-C-00733; SYN-C-00747,2019-2023
SYN-P-01206,Sai Baria,M,43,3,Tumakuru,1,MURDER x1; BURGLARY - NIGHT x1; CHEATING x1,SYN-C-00149; SYN-C-00425; SYN-C-00622,2019-2021
SYN-P-01222,Devansh Kumer,M,39,3,Tumakuru,1,THEFT x2; MURDER x1,SYN-C-00879; SYN-C-00917; SYN-C-01035,2021-2023
SYN-P-01231,Yuvraj Grewal,M,50,3,Tumakuru,1,THEFT x2; ROBBERY x1,SYN-C-00068; SYN-C-00854; SYN-C-00993,2021-2023
SYN-P-01284,Patrick Nagarajan,M,22,3,Kalaburagi,1,THEFT x3,SYN-C-00626; SYN-C-00802; SYN-C-00977,2020-2021
SYN-P-01302,Zehaan Kalita,M,36,3,Mysuru,1,BURGLARY - NIGHT x2; CHEATING x1,SYN-C-00443; SYN-C-00540; SYN-C-00678,2020-2023
SYN-P-01306,Jacob Batta,M,26,3,Bengaluru Urban,1,BURGLARY - NIGHT x2; THEFT x1,SYN-C-00051; SYN-C-00123; SYN-C-00255,2022-2023
SYN-P-01378,Dalbir Borah,M,54,3,Belagavi,1,THEFT x2; BURGLARY - NIGHT x1,SYN-C-00337; SYN-C-00422; SYN-C-00435,2022-2023
SYN-P-01682,Megha Aggarwal,F,43,3,Tumakuru,1,BURGLARY - NIGHT x2; CHEATING x1,SYN-C-00689; SYN-C-00850; SYN-C-00858,2020-2022
SYN-P-01777,Onveer Sant,M,41,3,Bengaluru Urban,1,CHEATING x2; THEFT x1,SYN-C-00044; SYN-C-00144; SYN-C-00165,2021-2023
SYN-P-01826,Zayyan Garg,M,22,3,Bengaluru Urban,1,THEFT x2; BURGLARY - NIGHT x1,SYN-C-00059; SYN-C-00156; SYN-C-00226,2021-2023
SYN-P-01893,Wyatt Goyal,M,53,3,Mysuru,1,THEFT x2; CHEATING x1,SYN-C-00145; SYN-C-00208; SYN-C-00434,2019-2023
SYN-P-00239,Kabir Ravel,M,24,2,Kalaburagi,1,THEFT x2,SYN-C-00017; SYN-C-01047,2019-2021
SYN-P-01214,Lavanya Badami,F,37,2,Kalaburagi,1,THEFT x1; BURGLARY - NIGHT x1,SYN-C-00825; SYN-C-00903,2020-2022
